,UCR Literal,Report Date,Month,Day,Year,Occur Time,UCR #,Latitude,Longitude
0,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,20,620,33.75194,-84.38964
1,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,120,620,33.75312,-84.39208
2,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1740,620,33.68077,-84.4937
3,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2350,640,33.75126,-84.37207
4,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,414,640,33.70204,-84.44972
5,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,400,640,33.75082,-84.39615
6,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,125,640,33.69612,-84.5037
7,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,920,640,33.81022,-84.41347
8,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,137,640,33.8201,-84.36481
9,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1100,640,33.76909,-84.38208
10,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,130,640,33.73867,-84.36653
11,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,330,640,33.70933,-84.48177
12,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1004,640,33.7008,-84.41018
13,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,100,640,33.72443,-84.41222
14,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1100,640,33.73951,-84.39345
15,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1430,640,33.77373,-84.35395
16,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1700,640,33.84911,-84.37075
17,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1930,640,33.7602,-84.38554
18,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1809,640,33.76897,-84.39868
19,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2200,640,33.78703,-84.41185
20,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2140,640,33.77795,-84.40849
21,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,415,630,33.71744,-84.36818
22,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1400,630,33.84676,-84.36212
23,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1528,630,33.84676,-84.36212
24,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1615,630,33.84676,-84.36212
25,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,2050,630,33.71803,-84.41768
26,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,100,640,33.74209,-84.43313
27,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2242,640,33.75305,-84.36861
28,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1840,640,33.76206,-84.39568
29,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2357,640,33.7476,-84.4037
30,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2300,640,33.78177,-84.41058
31,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,1930,640,33.76408,-84.31645
32,LARCENY-FROM VEHICLE,1/1/2019,1,1,2019,2030,650,33.74032,-84.35965
33,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1700,660,33.75605,-84.34813
34,LARCENY-NON VEHICLE,1/1/2019,1,1,2019,1100,670,33.83951,-84.42835
35,ROBBERY-PEDESTRIAN,1/1/2019,1,1,2019,1530,317,33.68883,-84.36607
36,AUTO THEFT,1/1/2019,1,1,2019,1930,710,33.77736,-84.47524
37,AUTO THEFT,1/1/2019,1,1,2019,1845,710,33.7284,-84.42654
38,AUTO THEFT,1/1/2019,1,1,2019,100,710,33.75017,-84.39515
39,AUTO THEFT,1/1/2019,1,1,2019,200,710,33.82561,-84.36535
40,AUTO THEFT,1/1/2019,1,1,2019,330,710,33.75445,-84.38026
41,ROBBERY-RESIDENCE,1/1/2019,1,1,2019,1050,345,33.79025,-84.39372
42,ROBBERY-PEDESTRIAN,1/1/2019,1,1,2019,545,311,33.75854,-84.40561
43,ROBBERY-COMMERCIAL,1/1/2019,1,1,2019,2315,313,33.82169,-84.35201
44,AGG ASSAULT,1/1/2019,1,1,2019,1,410,33.75839,-84.41115
45,AGG ASSAULT,1/1/2019,1,1,2019,102,410,33.69257,-84.52048
46,AGG ASSAULT,1/1/2019,1,1,2019,255,410,33.75751,-84.41174
47,AGG ASSAULT,1/1/2019,1,1,2019,450,410,33.74277,-84.40756
48,AGG ASSAULT,1/1/2019,1,1,2019,1732,410,33.77326,-84.49532
49,AGG ASSAULT,1/1/2019,1,1,2019,300,420,33.77438,-84.37122
50,AGG ASSAULT,1/1/2019,1,1,2019,630,430,33.655,-84.50859
51,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,1905,511,33.7883,-84.40387
52,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,1000,511,33.73618,-84.39718
53,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,2100,511,33.72138,-84.42733
54,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,600,511,33.78045,-84.41554
55,BURGLARY-NONRES,1/1/2019,1,1,2019,1500,512,33.74221,-84.43621
56,BURGLARY-NONRES,1/1/2019,1,1,2019,2200,512,33.74302,-84.4376
57,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,1600,521,33.75069,-84.4112
58,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,1500,521,33.70979,-84.35849
59,BURGLARY-RESIDENCE,1/1/2019,1,1,2019,1700,521,33.76239,-84.41368
60,BURGLARY-NONRES,1/1/2019,1,1,2019,2040,522,33.77887,-84.42798
61,BURGLARY-NONRES,1/2/2019,1,2,2019,100,522,33.80334,-84.39351
62,BURGLARY-NONRES,1/2/2019,1,2,2019,343,512,33.80343,-84.41372
63,BURGLARY-NONRES,1/2/2019,1,2,2019,440,512,33.85087,-84.42902
64,BURGLARY-RESIDENCE,1/2/2019,1,2,2019,1730,511,33.71774,-84.46076
65,BURGLARY-RESIDENCE,1/2/2019,1,2,2019,400,511,33.75837,-84.48541
66,BURGLARY-RESIDENCE,1/2/2019,1,2,2019,1200,511,33.81392,-84.39459
67,BURGLARY-RESIDENCE,1/2/2019,1,2,2019,1700,511,33.81267,-84.37412
68,AGG ASSAULT,1/2/2019,1,2,2019,1300,430,33.7465,-84.39536
69,AGG ASSAULT,1/2/2019,1,2,2019,1200,410,33.80107,-84.40742
70,AGG ASSAULT,1/2/2019,1,2,2019,2230,410,33.81558,-84.366
71,ROBBERY-RESIDENCE,1/2/2019,1,2,2019,17,315,33.73918,-84.29214
72,ROBBERY-PEDESTRIAN,1/2/2019,1,2,2019,1200,311,33.74135,-84.3766
73,AUTO THEFT,1/2/2019,1,2,2019,25,710,33.78652,-84.49013
74,AUTO THEFT,1/2/2019,1,2,2019,412,710,33.74514,-84.31064
75,AUTO THEFT,1/2/2019,1,2,2019,30,710,33.76604,-84.51029
76,AUTO THEFT,1/2/2019,1,2,2019,2059,710,33.78658,-84.38835
77,AUTO THEFT,1/2/2019,1,2,2019,2000,710,33.72579,-84.38625
78,AUTO THEFT,1/2/2019,1,2,2019,1500,710,33.82494,-84.36684
79,AUTO THEFT,1/2/2019,1,2,2019,2200,710,33.72984,-84.44582
80,AUTO THEFT,1/2/2019,1,2,2019,0,710,33.74277,-84.40756
81,AUTO THEFT,1/2/2019,1,2,2019,100,710,33.71111,-84.42028
82,AUTO THEFT,1/2/2019,1,2,2019,1345,710,33.73528,-84.41421
83,AUTO THEFT,1/2/2019,1,2,2019,1826,710,33.72194,-84.43905
84,AUTO THEFT,1/2/2019,1,2,2019,1915,710,33.74042,-84.41435
85,AUTO THEFT,1/2/2019,1,2,2019,0,710,33.72186,-84.38105
86,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,1000,690,33.76152,-84.38672
87,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,1645,690,33.81734,-84.46807
88,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,1044,690,33.71691,-84.3699
89,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,1645,690,33.74898,-84.49168
90,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,100,690,33.73582,-84.43462
91,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,1800,690,33.77247,-84.46243
92,LARCENY-NON VEHICLE,1/2/2019,1,2,2019,2253,690,33.69961,-84.40849
